Data,Dia Semana,Hora Inicio,Hora Fim,Nome,Id Funcionario,Bloqueio,Otimizacao
19/04/2022,Terça,00:00:00,08:00:00,Funcionario 12,12,False,False
19/04/2022,Terça,21:00:00,23:59:59,Funcionario 18,18,False,False
20/04/2022,Quarta,00:00:00,08:00:00,Funcionario 18,18,False,False
20/04/2022,Quarta,21:00:00,23:59:59,Funcionario 12,12,False,False
21/04/2022,Quinta,00:00:00,12:00:00,Funcionario 12,12,False,False
21/04/2022,Quinta,12:00:00,23:59:59,Funcionario 18,18,False,False
22/04/2022,Sexta,00:00:00,08:00:00,Funcionario 18,18,False,False
22/04/2022,Sexta,21:00:00,23:59:59,Funcionario 11,11,False,False
23/04/2022,Sábado,00:00:00,12:00:00,Funcionario 11,11,False,False
23/04/2022,Sábado,12:00:00,23:59:59,Funcionario 14,14,False,False
24/04/2022,Domingo,00:00:00,12:00:00,Funcionario 14,14,False,False
24/04/2022,Domingo,12:00:00,23:59:59,Funcionario 11,11,False,False
25/04/2022,Segunda,00:00:00,08:00:00,Funcionario 11,11,False,False
25/04/2022,Segunda,21:00:00,23:59:59,Funcionario 14,14,False,False
26/04/2022,Terça,00:00:00,08:00:00,Funcionario 14,14,False,False
26/04/2022,Terça,21:00:00,23:59:59,Funcionario 11,11,False,False
27/04/2022,Quarta,00:00:00,08:00:00,Funcionario 11,11,False,False
27/04/2022,Quarta,21:00:00,23:59:59,Funcionario 14,14,False,False
28/04/2022,Quinta,00:00:00,08:00:00,Funcionario 14,14,False,False
28/04/2022,Quinta,21:00:00,23:59:59,Funcionario 11,11,False,False
29/04/2022,Sexta,00:00:00,08:00:00,Funcionario 11,11,False,False
29/04/2022,Sexta,21:00:00,23:59:59,Funcionario 14,14,False,False
30/04/2022,Sábado,00:00:00,12:00:00,Funcionario 14,14,False,False
30/04/2022,Sábado,12:00:00,23:59:59,Funcionario 9,9,False,False
01/05/2022,Domingo,00:00:00,12:00:00,Funcionario 9,9,False,False
01/05/2022,Domingo,12:00:00,23:59:59,Funcionario 1,1,False,False
02/05/2022,Segunda,00:00:00,08:00:00,Funcionario 1,1,False,False
02/05/2022,Segunda,21:00:00,23:59:59,Funcionario 9,9,False,False
03/05/2022,Terça,00:00:00,08:00:00,Funcionario 9,9,False,False
03/05/2022,Terça,21:00:00,23:59:59,Funcionario 1,1,False,False
04/05/2022,Quarta,00:00:00,08:00:00,Funcionario 1,1,False,False
04/05/2022,Quarta,21:00:00,23:59:59,Funcionario 9,9,False,False
05/05/2022,Quinta,00:00:00,08:00:00,Funcionario 9,9,False,False
05/05/2022,Quinta,21:00:00,23:59:59,Funcionario 1,1,False,False
06/05/2022,Sexta,00:00:00,08:00:00,Funcionario 1,1,False,False
06/05/2022,Sexta,21:00:00,23:59:59,Funcionario 9,9,False,False
07/05/2022,Sábado,00:00:00,12:00:00,Funcionario 9,9,False,False
07/05/2022,Sábado,12:00:00,23:59:59,Funcionario 1,1,False,False
08/05/2022,Domingo,00:00:00,12:00:00,Funcionario 1,1,False,False
08/05/2022,Domingo,12:00:00,23:59:59,Funcionario 7,7,False,False
09/05/2022,Segunda,00:00:00,08:00:00,Funcionario 7,7,False,False
09/05/2022,Segunda,21:00:00,23:59:59,Funcionario 12,12,False,False
10/05/2022,Terça,00:00:00,08:00:00,Funcionario 12,12,False,False
10/05/2022,Terça,21:00:00,23:59:59,Funcionario 7,7,False,False
11/05/2022,Quarta,00:00:00,08:00:00,Funcionario 7,7,False,False
11/05/2022,Quarta,21:00:00,23:59:59,Funcionario 12,12,False,False
12/05/2022,Quinta,00:00:00,08:00:00,Funcionario 12,12,False,False
12/05/2022,Quinta,21:00:00,23:59:59,Funcionario 7,7,False,False
13/05/2022,Sexta,00:00:00,08:00:00,Funcionario 7,7,False,False
13/05/2022,Sexta,21:00:00,23:59:59,Funcionario 12,12,False,False
14/05/2022,Sábado,00:00:00,12:00:00,Funcionario 12,12,False,False
14/05/2022,Sábado,12:00:00,23:59:59,Funcionario 7,7,False,False
15/05/2022,Domingo,00:00:00,12:00:00,Funcionario 7,7,False,False
15/05/2022,Domingo,12:00:00,23:59:59,Funcionario 12,12,False,False
16/05/2022,Segunda,00:00:00,08:00:00,Funcionario 12,12,False,False
16/05/2022,Segunda,21:00:00,23:59:59,Funcionario 18,18,False,False
17/05/2022,Terça,00:00:00,08:00:00,Funcionario 18,18,False,False
17/05/2022,Terça,21:00:00,23:59:59,Funcionario 11,11,False,False
18/05/2022,Quarta,00:00:00,08:00:00,Funcionario 11,11,False,False
18/05/2022,Quarta,21:00:00,23:59:59,Funcionario 18,18,False,False
19/05/2022,Quinta,00:00:00,08:00:00,Funcionario 18,18,False,False
19/05/2022,Quinta,21:00:00,23:59:59,Funcionario 11,11,False,False
20/05/2022,Sexta,00:00:00,08:00:00,Funcionario 11,11,False,False
20/05/2022,Sexta,21:00:00,23:59:59,Funcionario 18,18,False,False
21/05/2022,Sábado,00:00:00,12:00:00,Funcionario 18,18,False,False
21/05/2022,Sábado,12:00:00,23:59:59,Funcionario 11,11,False,False
